id,date,device_id,x_pos,y_pos,z_pos,bit_value,voltage,width,num_pulses,deadtime,pat_wave,coil
280,"2021-06-09 13:03:22","CMOD A7",9,4,-22,0,500,160,3,10,,"4 mm CCW"
281,"2021-06-09 13:03:45","CMOD A7",10,4,-22,0,500,160,3,10,,"4 mm CCW"
282,"2021-06-09 13:04:09","CMOD A7",0,5,-22,0,500,160,3,10,,"4 mm CCW"
283,"2021-06-09 13:04:32","CMOD A7",1,5,-22,1,500,160,3,10,,"4 mm CCW"
284,"2021-06-09 13:04:55","CMOD A7",2,5,-22,1,500,160,3,10,,"4 mm CCW"
285,"2021-06-09 13:05:19","CMOD A7",3,5,-22,1,500,160,3,10,,"4 mm CCW"
286,"2021-06-09 13:05:45","CMOD A7",4,5,-22,1,500,160,3,10,,"4 mm CCW"
287,"2021-06-09 13:06:10","CMOD A7",5,5,-22,0,500,160,3,10,,"4 mm CCW"
288,"2021-06-09 13:06:35","CMOD A7",6,5,-22,0,500,160,3,10,,"4 mm CCW"
289,"2021-06-09 13:06:59","CMOD A7",7,5,-22,0,500,160,3,10,,"4 mm CCW"
290,"2021-06-09 13:07:23","CMOD A7",8,5,-22,0,500,160,3,10,,"4 mm CCW"
291,"2021-06-09 13:07:47","CMOD A7",9,5,-22,0,500,160,3,10,,"4 mm CCW"
292,"2021-06-09 13:08:12","CMOD A7",10,5,-22,0,500,160,3,10,,"4 mm CCW"
293,"2021-06-09 13:08:38","CMOD A7",0,6,-22,0,500,160,3,10,,"4 mm CCW"
294,"2021-06-09 13:09:03","CMOD A7",1,6,-22,1,500,160,3,10,,"4 mm CCW"
295,"2021-06-09 13:09:26","CMOD A7",2,6,-22,1,500,160,3,10,,"4 mm CCW"
296,"2021-06-09 13:09:50","CMOD A7",3,6,-22,1,500,160,3,10,,"4 mm CCW"
297,"2021-06-09 13:10:18","CMOD A7",4,6,-22,0,500,160,3,10,,"4 mm CCW"
298,"2021-06-09 13:10:42","CMOD A7",5,6,-22,0,500,160,3,10,,"4 mm CCW"
299,"2021-06-09 13:11:05","CMOD A7",6,6,-22,0,500,160,3,10,,"4 mm CCW"
300,"2021-06-09 13:11:30","CMOD A7",7,6,-22,0,500,160,3,10,,"4 mm CCW"
301,"2021-06-09 13:11:54","CMOD A7",8,6,-22,0,500,160,3,10,,"4 mm CCW"
302,"2021-06-09 13:12:18","CMOD A7",9,6,-22,0,500,160,3,10,,"4 mm CCW"
303,"2021-06-09 13:12:42","CMOD A7",10,6,-22,0,500,160,3,10,,"4 mm CCW"
304,"2021-06-09 13:13:08","CMOD A7",0,7,-22,0,500,160,3,10,,"4 mm CCW"
305,"2021-06-09 13:13:31","CMOD A7",1,7,-22,1,500,160,3,10,,"4 mm CCW"
306,"2021-06-09 13:13:54","CMOD A7",2,7,-22,1,500,160,3,10,,"4 mm CCW"
